Date,Type,Product,Quantity,Price,PayMethod,ClientID
08/01/2023,Income,Account,100.0,161.5,USDT,6.901403415041802e+17
09/01/2023,Expense,Account,465.0,450.0,USDT,9.450081247487796e+17
09/01/2023,Income,Account,50.0,85.0,Revolut,3.8615157395842656e+17
09/01/2023,Income,Account,1.0,2.1,Revolut,7.669262015029576e+17
09/01/2023,Income,Account,14.0,23.0,USDT,8.551698960187392e+17
10/01/2023,Income,Account,23.0,38.0,Revolut,3.092116484663542e+17
10/01/2023,Income,Account,3.0,4.8,Revolut,7.994016036477993e+17
12/01/2023,Income,Account,10.0,19.0,Revolut,9.22086866415661e+17
12/01/2023,Income,Account,2.0,3.99,USDT,9.38401739743322e+17
12/01/2023,Income,Account,100.0,161.5,USDT,5.188340591793275e+17
12/01/2023,Income,Account,300.0,420.0,USDT,1.050793525094138e+18
12/01/2023,Income,Account,50.0,80.75,USDT,7.906281865672129e+17
12/01/2023,Expense,Account,550.0,550.0,USDT,9.93884863327392e+17
12/01/2023,Income,Account,240.0,336.0,USDT,1.050793525094138e+18
13/01/2023,Income,Account,33.0,61.0,USDT,8.551698960187392e+17
14/01/2023,Income,Account,1.0,2.1,Revolut,4.86915430745768e+17
14/01/2023,Income,Account,10.0,19.0,Revolut,5.840872383470633e+17
16/01/2023,Income,Account,4.0,8.4,Revolut,3.2128946539187405e+17
16/01/2023,Income,Account,10.0,19.0,Revolut,1.0565439804787956e+18
17/01/2023,Income,Account,10.0,15.2,USDT,9.03095247905624e+17
18/01/2023,Income,Account,10.0,15.2,USDT,9.03095247905624e+17
19/01/2023,Income,Account,10.0,15.2,USDT,9.03095247905624e+17
20/01/2023,Income,Account,10.0,16.0,Revolut,2.6341369600344064e+17
20/01/2023,Income,Account,1.0,2.1,Revolut,8.758158916091986e+17
20/01/2023,Income,Account,20.0,32.0,Revolut,8.758158916091986e+17
22/01/2023,Income,Account,15.0,24.94,USDT,9.03095247905624e+17
22/01/2023,Income,Account,25.0,43.75,Revolut,9.155026189089832e+17
22/01/2023,Income,Account,20.0,33.25,USDT,6.901403415041802e+17
24/01/2023,Income,Account,10.0,16.62,USDT,9.03095247905624e+17
24/01/2023,Expense,Account,200.0,200.0,USDT,9.93884863327392e+17
25/01/2023,Income,Account,10.0,16.62,USDT,9.03095247905624e+17
26/01/2023,Expense,Proxies,1.0,12.0,bank,9.450081247487796e+17
26/01/2023,Income,Account,15.0,21.38,USDT,9.03095247905624e+17
28/01/2023,Income,Account,50.0,65.0,Revolut,6.54025217995309e+17
29/01/2023,Income,Account,1.0,1.3,Revolut,4.0362656697994445e+17
30/01/2023,Income,Account,15.0,21.38,USDT,9.03095247905624e+17
31/01/2023,Income,Account,15.0,21.38,USDT,9.03095247905624e+17
31/01/2023,Income,Account,20.0,30.0,Revolut,6.945180211795722e+17
01/02/2023,Income,Account,15.0,22.5,Revolut,9.72172116604629e+17
01/02/2023,Income,Account,70.0,91.0,Revolut,3.8615157395842656e+17
01/02/2023,Income,Account,12.0,17.1,USDT,9.03095247905624e+17
01/02/2023,Income,Account,5.0,8.75,Revolut,8.975124056832737e+17
01/02/2023,Income,Account,5.0,8.75,Revolut,7.088397220587766e+17
02/02/2023,Expense,Account,206.0,206.0,USDT,9.93884863327392e+17
02/02/2023,Income,Account,25.0,37.5,Revolut,5.7582484954546176e+17
02/02/2023,Income,Account,1.0,1.75,Revolut,7.994016036477993e+17
02/02/2023,Income,Account,5.0,8.75,Revolut,8.975124056832737e+17
03/02/2023,Income,Account,6.0,10.5,Revolut,7.880749989498716e+17
05/02/2023,Income,Account,10.0,16.62,USDT,9.03095247905624e+17
06/02/2023,Income,Account,15.0,19.95,USDT,9.03095247905624e+17
07/02/2023,Income,Account,5.0,8.75,Revolut,8.975124056832737e+17
07/02/2023,Income,Account,1.0,1.75,Revolut,8.975124056832737e+17
07/02/2023,Income,Account,15.0,19.95,USDT,9.03095247905624e+17
08/02/2023,Income,Account,15.0,19.95,USDT,903095247905624105
